Access,Start Date,Start Time (UTCG),Stop Date,Stop Time (UTCG),Duration (sec),,Latency
1,4/12/2018,21:12:28,4/12/2018,21:15:51,202.692,,
2,4/12/2018,22:46:33,4/12/2018,22:51:57,324.198,,1:30:42
3,5/12/2018,3:37:56,5/12/2018,3:38:42,45.801,,4:45:59
4,5/12/2018,5:11:19,5/12/2018,5:16:50,330.966,,1:32:37
5,5/12/2018,21:38:07,5/12/2018,21:43:21,314.174,,16:21:17
6,5/12/2018,23:13:53,5/12/2018,23:18:20,266.566,,1:30:32
7,6/12/2018,4:03:27,6/12/2018,4:07:08,220.723,,4:45:07
8,6/12/2018,5:38:06,6/12/2018,5:43:25,319.341,,1:30:58
9,6/12/2018,22:04:32,6/12/2018,22:10:16,343.838,,16:21:07
10,6/12/2018,23:41:44,6/12/2018,23:44:23,158.836,,1:31:28
11,7/12/2018,4:29:43,7/12/2018,4:34:39,295.385,,4:45:20
12,7/12/2018,6:05:20,7/12/2018,6:09:24,244.608,,1:30:41
13,7/12/2018,20:57:36,7/12/2018,21:00:35,179.692,,14:48:11
14,7/12/2018,22:31:25,7/12/2018,22:36:53,328.146,,1:30:50
15,8/12/2018,4:56:14,8/12/2018,5:01:43,329.582,,6:19:21
16,8/12/2018,21:23:06,8/12/2018,21:28:13,307.381,,16:21:22
17,8/12/2018,22:58:43,8/12/2018,23:03:17,274.669,,1:30:29
18,9/12/2018,3:48:26,9/12/2018,3:51:56,209.605,,4:45:09
19,9/12/2018,5:22:59,9/12/2018,5:28:22,322.973,,1:31:04
20,9/12/2018,21:49:27,9/12/2018,21:55:10,343.089,,16:21:05
21,9/12/2018,23:26:29,9/12/2018,23:29:24,174.455,,1:31:19
22,10/12/2018,4:14:40,10/12/2018,4:19:29,289.444,,4:45:16
23,10/12/2018,5:50:09,10/12/2018,5:54:27,257.413,,1:30:40
24,10/12/2018,20:42:46,10/12/2018,20:45:17,151.496,,14:48:19
25,10/12/2018,22:16:17,10/12/2018,22:21:49,331.668,,1:31:00
26,11/12/2018,4:41:09,11/12/2018,4:46:37,327.741,,6:19:20
